Category,Question,Round
Mathematics,Factorize the expression 8x2-14x+5. Ans: (4x-5)(2x-1),3
Physics,What is the name for the ability of a solid to recover its shape once deforming forces are removed? Ans: Elasticity,3
Sports,Lebron James,3
Jamaican Heritage,In what year was Port Royal destroyed by Fire? Ans: 1703,3
French,Give the English translation for: Je suis fatiguï¿½. Ans: I'm tired,3
Literature,Which West Indian wrote the collection of essays: An unfinished Journey? Ans: Shiva Naipaul,3
Art,Which Sculpture by Michael Angelo depicts Mary holding the body of her dead son? Ans: the Pieta,3
Bible Knowledge,What Queen gave King Solomon an intellegent test of many questions in which he made a perfectï¿½? Ans: Queen of Sheba,3
Bible Knowledge,Which angel explained the meaning of the 70 wheat prophecy to Daniel? Ans: Gabriel,3
Biology,"What's the name of the long, thin hair-like appendages used by E.coli for locomotion? Ans: Flagella",3
English Language,Give a five letter adjective starting with 's' which means debonair or charming. Ans: Suave,3
Local and International Affairs,Flag of Andorra,3
Chemistry,What is the formula for Sodium Arsenate? Ans: Na3AsO4,3
Music,Lonely tonight (title),3
General Knowledge,"He was given the name Temujin after his birth in the 12th century, by what name was he more popularly known? Ans: Genghis Khan",3
Spanish,What is the equivalent English proverb for: el trabajo compartido es mas lleva dero? Ans: Many hands make light work,3
Geography,Ashkabat is the capital city of which country? Ans: Turkmenistan,3
Theatre and Cinema,Lacy Chavert,3
Information Technology,What is the name given to a step by step outline of the sequence of operation to be used to solve a problem? Ans: Algorithm,3
History,Which French Privateer in 1522 seized two Mexican Galleons laiden with the treasure of Hernan Cortez? Ans: Jean Flury,3
Mathematics,What is the result of an improper fraction when 3/7 is subtracted from 6? Ans: 39/7,3
Physics,What is the resistance of a wire when a current 12 amperes passes through at 72 volts? Ans: 6 ohms,3
Sports,Dwayne Wade,3
Jamaican Heritage,According to the Jamaican proverb: what should you not do until you have crossed the river? Ans: Nuh dash weh u stick,3
French,"qu'est que c'est, what am I asking? Ans:  what is that? ",3
Literature,"Who wrote the novel ""Aaron's rod""? Ans: D.H. Lawrence",3
Art,"Who painted the ""Fighting Temererie""? Ans: J.M.W. Turner",3
Bible Knowledge,Who prophesied that a meat-eating animal would eat straw? Ans: Isaiah,3
Biology,"In the process of emasculation of a flower, what is removed in order to prevent self-pollination? Ans: Anthers (accept stamen)",3
English Language,Give a six letter verb starting with 'v' which means to speak ill of or to belittle. Ans: vilify,3
Local and International Affairs,"Who is the deputy chairman of the Tourism Enhancement Fund, TEF, in Jamaica? Ans: Trevor Riley",3
Bible Knowledge,Who's brother blamed a beastï¿½.? Ans: Joseph,4
Biology,What is the name given to a pregnancy where the foetus attachesï¿½.? Ans: Ectopic pregnancy,4
English Language,"Does the word recalcitrant mean progressive, wayward or slow? Ans: Wayward",4
Local and International Affairs,Flag of Austria,4
Chemistry,"What is the full name of the most popular process by which a base metal is given a coating of a different metal to make it shiny, easy to clean and most resistant to corrosion? Ans: Chromium plating",4
Music,Hit the road Jack,4
General Knowledge,"At nearly 200m, the Smokey hole cave is said to be the deepest in Jamaica. In which parish is it located? Ans: Manchester",4
Spanish,Translate to English: el hombre pobre. Ans: The poor man,4
Geography,"Atmospheric pressure primarily depends on three factors. Name any two. Ans: Earth's rotation, altitude",4
Theatre and Cinema,Elisa Cuthbert,4
Information Technology,"Linus Tovaz, the developer of the Linux kernel on which the android operating system is based was a university student when started working on Linux. At which University was he studying? Ans: University of Helsinki",4
History,Which word was used as the short name for the secret State Police in Nazi Germany? Ans: Guestapo,4
Mathematics,What is 972 divided by 36? Ans: 27,4
Physics,In what year was the first Nobel Prize for Physics awarded? Ans: 1901,4
Sports,Mike Conley (NBA),4
Jamaican Heritage,"The Jamaica Defense Force supports two military bands. One is the Jamaica Military band, what is the name of the other? Ans: The Jamaica Regiment",4
French,What is the English translation for: Le garï¿½on faim? Ans: The hungry boy,4
Literature,"Michael Anthony wrote the ""Streets of Conflict"" that was set in which country? Ans: Brazil",4
Art,"Which 17th century artist painted the work ""The Dove of the holy spirit""? Ans: Sebastian Lobambelli",4
Bible Knowledge,Who was Elam's grandfather? Ans: Noah,4
Biology,What is the name for a bacterial structure that can survive environmental stress? Ans: Endospore,4
English Language,Give a five letter noun starting with 'c' which means a sure bet or certainty. Ans: Cinch,4
Bible Knowledge,Jesus taught his disciples to be as wise as serpents and harmless as what? Ans: Dove,4
Biology,"The ilium, Ischium and Pubis fuse to form a single bone which constitutes a half of the pelvis, what is this bone called? Ans: Innominate bone",4
English Language,Give a four letter word beginning with 'I' which means a grain or speck. Ans: Iota,4
Local and International Affairs,Flag of Benin,4
Chemistry,Who discovered the element Sodium? Ans: Humphrey Davy,4
Music,Next to me (title),4
General Knowledge,Stratocracy is a form of government by which group? Ans: Military,4
Spanish,Which illness is el gripe? Ans: Influenza or the flu,4
Geography,"Place these islands in South to North order: St. Kitts, Grenada, Barbados, Dominica. Ans: Grenada, Barbados, St. Kitts, Dominica",4
Theatre and Cinema,Marlene Hackerman,4
Information Technology,The first computer which was designed to use a mouse as an input device was developed by this company in California. What is the name of the company? Ans: Xerox,4
History,In which year was the Encomienda system legally abolished in the Caribbean? Ans: 1720,4
Mathematics,What is 40% of 140? Ans: 56,4
Physics,What is the potential difference across a 80 Ohm resistor if a current of 0.050 amperes passes through it? Ans: 4 V,4
Sports,Jimmy Butler (NBA),4
Jamaican Heritage,In which parish is the Heritage site Salters Hill Baptist church located? Ans: St. James,4
French,What is the English translation for: un verre de jus? Ans: A glass of juice,4
Literature,"This West Indian wrote his first book published in 1955, a novel entitled: Voices under the window. Name him. Ans: John Hearne",4
Art,"Which French artist painted the 1911 piece ""Man with a guitar""? Ans: Georges Braques",4
Bible Knowledge,Which disciple of Jesus wrote only two books of the New Testament? Ans: Peter,4
Biology,Which specific branch of dentistry is concerned with rectifying misalignment or irregularity of teeth? Ans: Orthodontics,4
English Language,Convert this sentence to the future perfect tense: Jack finished his homework yesterday. Ans: Jack will have finished his homework tomorrow,4
Local and International Affairs,Booker T. Washington (visual),4
Chemistry,What is the name given to an organic molecule containing at least one carbon to carbon triple bond? Ans: Alkyne,4
Music,Black man redemption (Bob Marley),4
General Knowledge,What is the specific name for the longest venomous snake in the world? Ans: King Cobra,4
Spanish,Pronounce the Spanish name for this Cuban violinist spelled J-A-I-M-E   -G-E-O-R-G-E,4
Geography,The famous tourist resort of Bora Bora in French Polynesia is a member of which group of islands? Ans: The Society islands,4
Theatre and Cinema,Cherine Anderson,4
Information Technology,How many slots are available within the 8-bit code within the American Standard Code for Information Interchange? Ans: 256,4
History,Which Organization was granted a charter for trade monopoly in the West Indies in 1621? Ans: Dutch West India Company,4
Mathematics,What is the value of Sine 60 degrees in surd form? Ans: root 3 over 2,4
Physics,What is the emf induced in a circuit carrying changing at a rate of 40 Ampere/second if the circuit inductance is 0.25H? Ans: 10V,4
Sports,Lalia Ali,4
Jamaican Heritage,Name the National monument located at Port Royal. Ans: Fort Charles,4
French,What is the English translation for: le deuxiï¿½me cours? Ans: The second course,4
Bible Knowledge,Which man's name was changed to Israel? Ans: Jacob,4
Biology,Three species of Hummingbird are endemic to Jamaica. Give the full descriptionï¿½..,4
English Language,"Give a nine letter adjective starting with 'c' which means fat, plump or rotund. Ans: Corpulent",4
Local and International Affairs,Edward Zacca (former Chief Justice of Jamaica),4
Chemistry,CH3CH2CH2OH is the formula for which alcohol? Ans: propanol,4
Music,Pimpers Paradise,4
General Knowledge,What is the study of inscriptions called? Ans: Epigraphy,4
Spanish,What is the English translation for: el muchacho gritï¿½? Ans: The boy shouted,4
Geography,The Pitchlake is located in which town in Trinidad? Ans: La Brea,4
Theatre and Cinema,Madge Sinclair,4
Information Technology,"In the C programming language, which control parameter is used to read and store a string of characters ? Ans: Scan formated",4
History,During which war was the battle of Goose Creek? Ans: American Civil War,4
Mathematics,What is the LCM of 24 and 48? Ans: 48,4
Physics,"A rocket ejects spent fuel at a rate of 6000 kg/min. If the ejected fuel has a velocity of 100 m/s relative to the rocket, calculate the thrust due to the ejection of spent fuel. Ans: 10000N",4
Sports,Arthur Ashe,4
Jamaican Heritage,What was the equivalent imperial measurement of what Jamaicans called Big jill? Ans: 1/4 pint,4
French,What is the English equivalent of the French la pomme? Ans: The apple,4
Literature,"Who is the narrator of the novel ""The Hummingbird tree""? Ans: Alan Holmes",4
Bible Knowledge,"According to the bible, who went out from the presence of the Lord and dwelt in the land of Nod? Ans: Cain",5
Biology,What is the name for the developmental course of an organism? Ans: Ontogeny or Morphogenesis,5
English Language,Spell IMPECCABLE,5
Local and International Affairs,Michael Manley,5
Chemistry,Siderite is an ore of which metal? Ans: Iron,5
Music,Trench Town (Bob Marley),5
General Knowledge,Who was the first Republican president of the United States? Ans: Abraham Lincoln,5
Spanish,Give the English translation for the expresion: pletherimos este coche. Ans: We prefer this car,5
Geography,The Annandale falls is located in which Caribbean country? Ans: Grenada,5
Theatre and Cinema,Count Prince Miller,5
Information Technology,By what process are digital signals converted to analogue in communication systems? Ans: Modulation,5
History,In what year was the signing of the Kremlin accords? Ans: 1994,5
Mathematics,"What is the sum of 9, 0.9 and 0.99? Ans: 10.89",5
Physics,What is the former unit of luminance equal to the the luminance of an equally diffusing surface that emits or reflects one lumen per square centimeter? Ans: Lambert,5
Sports,Usain Bolt,5
Jamaican Heritage,Who became the first Premier of Jamaica? Ans: Norman Manley,5
French,What is the English for the number cinquante? Ans: Fifty,5
Literature,"In the science fiction novel ""Jurassic park"", animals have been cloned using damaged DNA from which other animal? Ans: Dinosaurs",5
Art,Paul became a Christian after experiencing a vision of Christ while on his way from which city? Ans: Jerusalem,5
Bible Knowledge,What vitamin is also known as retinol? Ans: Vitamin A,5
Biology,Give a five letter noun starting with 'f' which means an evil person or bogie. Ans: Fiend,5
Bible Knowledge,"In the bible in the New Testament, which man was nominated to replace Judas but was not selected? Ans: Joseph (Barsabus Justus)",5
Biology,What is the total volume of water in an average human body weighing approximately 70kg? Ans: 42 litres,5
English Language,"Distinguish between the words incursion and excursion. Ans: Incursion is an invasion or attack, especially a sudden or brief one; excursion is a short journey or trip, especially one taken as a leisure activity",5
Local and International Affairs,W. E. B. Du Bois,5
Chemistry,What is the formula for per sulfuric acid? Ans: H2SO5,5
Music,Zimbabwe (Bob Marley),5
General Knowledge,"US President Barack Obama will visit Jamaica on April 9, 2015 before heading to Panama to attend which event? Ans: The Summit of the Americas",5
Spanish,Translate into English: fui a mercado el pasado sabado. Ans: I went to the market last Saturday,5
Geography,This is a city located near the Jordan river in the West Bank and was referred to in the Hebrew bible as the City of Palm trees. Name the city. Ans: Jericho,5
Theatre and Cinema,Evan Park,5
Information Technology,Which Markup Language was created by the company on wired planet in 1997 and allowed text portions of web pages to be presented on cellular phones? Ans: HDML or Hand-held device Markup Language,5
History,In which war was the battle of Stones River fought? Ans: American Civil War,5
Mathematics,A floor has a length of 0.3m and a width of 0.5m. How many square tiles with sides of 10cm each are required to tile the floor? Ans: 15 tiles,5
Physics,What is the name for the reduction in amplitude of a wave due to the dissipation of wave energy? Ans: Damping,5
Sports,Debbie Furgerson McKenzie,5
Jamaican Heritage,What is the Jamaican name for the West Indian locust? Ans: Stinking toe,5
French,Translate into English: je te aime tellement. Ans: I love you so much,5
Literature,"From which Shakespearean play is the quotation: But for my own part, it was Greek to me? Ans: Julius Caesar",5
Art,Sculptor Alvin Mariot was commissioned to create bustsï¿½,5
Bible Knowledge,In which of the Psalms is it said that the chief corner stone was rejected by builders? Ans: Psalm 118,-1
Biology,What is the approximate diameter of the bronchioles in the human lung in millimeters? Ans: 0.5mm to 1mm,-1
English Language,Give a six letter word starting with 's' which means showing signs of old age. Ans: Senile,-1
Local and International Affairs,George Washington Carver,-1
Chemistry,"2, 8, 18, 8 is the electronic configuration of which element? Ans: Krypton",-1
Music,Sun is shining (Bob Marley),-1
General Knowledge,Helen Clarke is the head of which United Nations Organization? Ans: UNDP or United Nations Development Programme,-1
Spanish,Give the equivalent English proverb for: buscar una aguja en un pajar. Ans: To look for a needle in a haystack,-1
Geography,Mongolia is bordered by which two countries? Ans: Russia and China,-1
Theatre and Cinema,Peter Williams,-1
Information Technology,The highest address on a memory chip is FFFF in hexadecimal. What is the capacity of the chip? Ans: 64KB or 65535 Bytes,-1
History,Who was the leader of the Soviet Union during the 1968 Prague Spring? Ans: Leonid Brezhnev,-1
Mathematics,Two numbers are such that their sum is 18 and their difference is 2. What is their product? Ans: 80,-1
Physics,A cubicle storage tank has side 5m. How many litres remain in the tank when it is 60% full of petrol? Ans: 75000 litres,-1
Sports,Sherika Williams,-1
Jamaican Heritage,"According to the Jamaican folksong, what  is the name of the tree under which dancers rock on a moonshine night? Ans: Banyan tree",-1
French,Which fruits are les fraises? Ans: Strawberries,-1
Literature,"Who wrote the novel ""From London to Land's end""? Ans: Daniel Defoe",-1
Art,It was one of the most powerful antiwar statements of the early twentieth century; a potent symbol of the destruction of war on innocent lives. Name this painting by Pablo Picasso. Ans: Guernica,-1
Bible Knowledge,By what other name was the saucerer Bar Jesus called? Ans: Elymas,-1
Biology,Give the more common name forï¿½,-1
Bible Knowledge,Who said these words and to whom: Let there be no strife I pray thee betweenï¿½? Ans: Abraham to Lot,-1
Biology,What is the general name for an organism with both male and femaleï¿½? Ans: Hermaphrodite,-1
English Language,Identify the adverb in the following sentence: the deadly ebola disease spread everywhere. Ans: everywhere,-1
Local and International Affairs,Emperor Akihito of Japan,-1
Chemistry,Name the process in which aluminium is made more resistant to corrosion. Ans: Anodising,-1
Music,Rock with you (Michael Jackson),-1
General Knowledge,Give the year that the Grade Six Achievement Test replaced the UK based Common Entrance Examination in Jamaica. Ans: 1999,-1
Spanish,Give the English translation for: Yo se que te gusta la musica. Ans: I know that you like music,-1
Geography,River Volga originates in what Hills? Ans: Valdai Hills,-1
Theatre and Cinema,Angela Bassett,-1
Information Technology,Which file extension is associated with a single file created to hold a number of compressed files? Ans: dot cab files or cabinet files,-1
History,Columbia and Panama were once joined to form which Republic in 1850? Ans: New Granada,-1
Mathematics,What is 128 divided by 2 raised to the 3rd power? Ans: 16,-1
Physics,What is the effective resistance ofï¿½.? Ans: 2 ohms,-1
Sports,Larry Bird,-1
Jamaican Heritage,Complete the Jamaican proverb: ole fyah tikï¿½Ans: easy fi ketch,-1
French,Give the English equivalent for this expression: je ne se pas le nomme de professeur. Ans: I do not know the name of the teacher or the teacher's name,-1
Literature,"Who wrote the Pulitzer Prize winning novel ""The Stone diaries""? Ans: Carol Shields",-1
Art,What name is given to a person whose job is to research and manage a museum collection? Ans: Curator,-1
Bible Knowledge,Who said these words as recorded in the King James Bible: the lord watch between me and thee when we are absent one from another? Ans: Laban,-1
Biology,What is the name of the organ through which food passes from the pharynx to the stomach? Ans: Oesophagus,-1
English Language,Give a six letter word starting with 'p' which means a person who is hated or rejected by another. Ans: Pariah,-1
Bible Knowledge,"In the book of Luke, which woman did Jesus tell that she was worried and troubled about many things? Ans: Martha",6
Biology,What is the medical term for the defect of vision in which the eyes are not properly aligned with each other? Ans:  strabismus or heterotropia (commonly called cross-eyed or wall-eyed),6
English Language,"Correct this sentence using the subjunctive mood: If I were to pass the exam, I will get the job. Ans: will should be would ",6
Local and International Affairs,Who is the Acting CEO of Supreme Ventures Gaming Limited? Ans: Stefan Miller,6
Chemistry,How many moles are there in 11.2 dm3 of Ammonia gas at Standard Temperature and Pressure? Ans: 0.5 mole,6
Music,Dial my number (title),6
General Knowledge,"Name the co-pilot of the Germanwings who crashed the aircraft on March 24, 2015. ans: Andreas Lubitz ",6
Spanish,Translate to English: Yo llevaba una falda negra a la iglesia. Ans: I wore a black skirt to church,6
Geography,What name is given to the hot south-easterly wind which blows over the Canary Islands? Ans: Levanto,6
Theatre and Cinema,Cicily Tyson,6
Information Technology,What is the name given to a facility that is almost exclusively administered remotely through lights out management? Ans: Dark data centre,6
History,In what year was the General Agreement on Tariffs and Trade first signed? Ans: 1947,6
Mathematics,"In a class of 35 students, 22 like mathematics, 25 like English and 6 students do not like either of the two. How many students like both subjects? Ans: 18",6
Physics,"The velocity of gas expelled from a rocket is 520 m/s. If the gas is expelled at 2.5 kg/s, what is the force produced by the rocket? Ans: 1300N",6
Sports,Lawrence Rowe (former Jamaian and West Indies batsman),6
Jamaican Heritage,Who was the last of the British governors in Jamaica? Ans: Kenneth Blackburn,6
French,What is the English translation for the phrase: dans le monde? Ans: Around the world ,6
